sample_id	fastq_1	fastq_2	layout	assay	mark_or_factor	condition	replicate	batch	treatment	control_id	is_control	organism	genome_id	sra_study	bioproject	sra_runs	library_name	notes
SRX24007383	SRR28402826.fastq.gz		single	ChIP-seq	SmHP1	cercariae	1	PRJNA1090249	HP1	SRX24007388	false	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402826	cercaria_ChIP_HP1_replica_1	SmHP1/HP1 ChIP-seq; matched cercariae input SRX24007388
SRX24007384	SRR28402825.fastq.gz		single	ChIP-seq	SmHP1	cercariae	2	PRJNA1090249	HP1	SRX24007388	false	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402825	cercaria_ChIP_HP1_replica_2	SmHP1/HP1 ChIP-seq; matched cercariae input SRX24007388
SRX24007387	SRR28402822.fastq.gz		single	ChIP-seq	SmHP1	cercariae	3	PRJNA1090249	HP1	SRX24007388	false	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402822	cercaria_ChIP_HP1_replica_3	SmHP1/HP1 ChIP-seq; matched cercariae input SRX24007388
SRX24007388	SRR28402821.fastq.gz		single	input	input	cercariae	1	PRJNA1090249	input		true	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402821	cercaria_ChIP_input	Input for cercariae SmHP1 ChIP-seq
SRX24007389	SRR28402820.fastq.gz		single	ChIP-seq	SmHP1	sporocysts	1	PRJNA1090249	HP1	SRX24007392	false	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402820	sporocyst_ChIP_HP1_replica_1	SmHP1/HP1 ChIP-seq; matched sporocysts input SRX24007392
SRX24007390	SRR28402819.fastq.gz		single	ChIP-seq	SmHP1	sporocysts	2	PRJNA1090249	HP1	SRX24007392	false	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402819	sporocyst_ChIP_HP1_replica_2	SmHP1/HP1 ChIP-seq; matched sporocysts input SRX24007392
SRX24007391	SRR28402818.fastq.gz		single	ChIP-seq	SmHP1	sporocysts	3	PRJNA1090249	HP1	SRX24007392	false	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402818	sporocyst_ChIP_HP1_replica_3	SmHP1/HP1 ChIP-seq; matched sporocysts input SRX24007392
SRX24007392	SRR28402817.fastq.gz		single	input	input	sporocysts	1	PRJNA1090249	input		true	Schistosoma mansoni	SM_V10	SRP496840	PRJNA1090249	SRR28402817	Sporocysts_ChIP_input	Input for sporocysts SmHP1 ChIP-seq
